country,model,prompt,N_valid,H_norm,H_norm_wvs,entropy_ratio,IM,IM_wvs,dIM,EM,JSD,W1,mu,dmu,err_1,err_2,err_3,err_4,IM_lo,IM_hi,H_norm_lo,H_norm_hi,JSD_lo,JSD_hi,discarded_mass
Argentina,gpt-4o,prompt 1,914,0.41530889445320496,0.840684972708674,0.49401251114919553,1.0,0.8063241106719368,0.19367588932806323,0.0,0.15096147218336095,0.4910411315130181,2.737417943107221,0.3803691947541248,-0.1383399209486166,-0.15902532123633828,0.35270121056440146,-0.05533596837944664,1.0,1.0,0.3935085660524681,0.4350230277956907,0.12795944112568616,0.17458218585609225,0.0021834061135371
Argentina,gpt-oss-120B,prompt 1,916,0.43693732582768274,0.840684972708674,0.519739664692563,0.9989082969432315,0.8063241106719368,0.1925841862712947,0.001091703056768559,0.1385172666809211,0.466505284475666,2.7128820960698694,0.3558333477167732,-0.13724821789184805,-0.13667288031252334,0.3292570665838181,-0.05533596837944664,0.9967248908296943,1.0,0.41486274760126984,0.45712644259725005,0.11683378931162433,0.16438053528498334,0.0
Argentina,gpt-oss-20B,prompt 1,916,0.4945943623128919,0.840684972708674,0.5883230679374659,1.0,0.8063241106719368,0.19367588932806323,0.0,0.10890064661783212,0.31475855958483634,2.5611353711790397,0.20408662282594348,-0.1383399209486166,0.017257250691843473,0.17641863863621982,-0.05533596837944664,1.0,1.0,0.4872073179718496,0.4986511287232114,0.09253447052109308,0.127596999261737,0.0
United States,gpt-4o,prompt 1,1466,0.4865706460464894,0.8097999233411424,0.6008529169019359,1.0,0.8142857142857143,0.18571428571428572,0.0,0.10418360476866456,0.2057038913791986,2.4038199181446114,0.10994236712420324,-0.15782312925170067,0.1778127349166133,0.007901550797672463,-0.027891156462585033,1.0,1.0,0.4782723295002297,0.49257356796049445,0.09276789806509628,0.11709529227954547,0.0040760869565217
United States,gpt-oss-120B,prompt 1,1472,0.41734732537838604,0.8097999233411424,0.515370912430392,0.9959239130434783,0.8142857142857143,0.181638198757764,0.004076086956521739,0.12988418895321754,0.3635998964803315,2.2377717391304346,-0.056105811889973545,-0.15374704229517894,0.3357087400177462,-0.15407054125998224,-0.027891156462585033,0.9925271739130435,0.9986413043478262,0.3959465240714398,0.4367780575638889,0.11380880267945594,0.14862244463800653,0.0
United States,gpt-oss-20B,prompt 1,1472,0.3407907079743746,0.8097999233411424,0.420833218368694,0.9918478260869565,0.8142857142857143,0.17756211180124226,0.008152173913043478,0.16586165111755719,0.44919772256728796,2.1440217391304346,-0.14985581188997354,-0.14967095533865718,0.42130656610470274,-0.24374445430346048,-0.027891156462585033,0.9870923913043479,0.9959239130434783,0.3124865753744394,0.36615007468332417,0.14651228803620822,0.18989906395634248,0.0
Uruguay,gpt-4o,prompt 1,843,0.4974385215938069,0.8728767257899629,0.5698840476513103,1.0,0.6615776081424937,0.33842239185750633,0.0,0.2128098437980584,0.5930020917660482,2.5421115065243183,0.49885450906884765,-0.2913486005089059,0.03676890060036403,0.30165349125714236,-0.047073791348600506,1.0,1.0,0.49177629602948825,0.49991422448828904,0.18986512951436826,0.23684655278287065,0.0
Uruguay,gpt-oss-120B,prompt 1,843,0.5055063750206163,0.8728767257899629,0.5791268802168228,0.9988137603795967,0.6615776081424937,0.337236152237103,0.0011862396204033216,0.19724413545689262,0.5301313918846722,2.4792408066429417,0.43598380918747104,-0.29016236088850256,0.0972671212409334,0.23996903099616962,-0.047073791348600506,0.9964412811387899,1.0,0.49698667244513883,0.5151573733676343,0.1735615738245599,0.22287144839634926,0.0
Uruguay,gpt-oss-20B,prompt 1,843,0.4579525310207073,0.8728767257899629,0.5246474301468576,1.0,0.6615776081424937,0.33842239185750633,0.0,0.19491707144183226,0.381851439334257,2.3309608540925266,0.287703856637056,-0.2913486005089059,0.24791955303215518,0.0905028388253511,-0.047073791348600506,1.0,1.0,0.44071792796529347,0.4725683042183021,0.17382682796105012,0.2189920654042185,0.0
Argentina,gpt-4o,prompt 2,681,0.6050841412253523,0.840684972708674,0.7197513466617352,0.9339207048458149,0.8063241106719368,0.12759659417387814,0.06607929515418502,0.05053268413207074,0.27983725398013837,2.23935389133627,-0.11769485701682614,-0.08107119848165625,0.2333118582879165,-0.10571526411403831,-0.04652539569222197,0.9162995594713657,0.9515785609397943,0.562910446129294,0.6390546741431633,0.0356201003882157,0.07278014560292602,0.0
Argentina,gpt-oss-120B,prompt 2,681,0.5115215315301819,0.840684972708674,0.6084580409259218,0.9383259911894273,0.8063241106719368,0.1320018805174905,0.06167400881057269,0.09250118635426,0.38556412622683434,2.133627019089574,-0.2234217292635221,-0.08107119848165625,0.3346334441910002,-0.20263156367350968,-0.050930682035834306,0.9192364170337739,0.9559471365638766,0.46541255075904053,0.5546346198857677,0.0692208271226778,0.12107321162942575,0.0
Argentina,gpt-oss-20B,prompt 2,681,0.4545051803169492,0.840684972708674,0.5406367367939747,0.9412628487518355,0.8063241106719368,0.13493873807989876,0.05873715124816447,0.12016183299243402,0.43255384722536594,2.089574155653451,-0.26747459269964535,-0.08253962726286036,0.3801547364083277,-0.2452159983284289,-0.052399110817038415,0.923604992657856,0.9588839941262848,0.40609530137684097,0.4975163337348361,0.09660566163443479,0.15133359457751588,0.0
United States,gpt-4o,prompt 2,1000,0.6824482832991187,0.8097999233411424,0.8427369077579245,0.8280000000000001,0.8142857142857143,0.01371428571428579,0.17200000000000001,0.04380695706056839,0.24487755102040856,2.049,-0.2448775510204082,0.007176870748299341,0.20963265306122447,-0.19591836734693874,-0.020891156462585034,0.804,0.851,0.6504134864079592,0.7119094595386598,0.031152110961473866,0.05983408603168923,0.3136582017844886
United States,gpt-oss-120B,prompt 2,1457,0.5649546815345595,0.8097999233411424,0.6976472400782909,0.8325326012354153,0.8142857142857143,0.018246886949701002,0.16746739876458477,0.10285395209970163,0.34809855307943394,1.9457789979409748,-0.3480985530794334,0.008271585916453078,0.30503690838037345,-0.28679002143067245,-0.02651847286615401,0.8133150308853809,0.8517501715854495,0.5341637575858448,0.5926682155982965,0.08535146854275155,0.12212390849590925,0.0
United States,gpt-oss-20B,prompt 2,1457,0.5504366273588099,0.8097999233411424,0.6797192880529934,0.8380233356211393,0.8142857142857143,0.023737621335425008,0.16197666437886069,0.10864357132521085,0.34878489487764924,1.9450926561427588,-0.3487848948776493,0.0027808515307289894,0.31670471895003705,-0.29296709761461204,-0.02651847286615401,0.818805765271105,0.8572409059711736,0.5191487063508298,0.5770192916835448,0.0909366134766876,0.12846391777047755,0.0
Uruguay,gpt-4o,prompt 2,751,0.7600883771066254,0.8728767257899629,0.8707854782343258,0.7496671105193076,0.6615776081424937,0.0880895023768139,0.25033288948069243,0.017901905460461102,0.1412671145851332,1.9973368841544608,-0.04592011330100987,-0.04767350064206166,0.10085111285038095,-0.012761610473567053,-0.04041600173475231,0.7177097203728362,0.7802929427430094,0.7301208508314364,0.7848879889396657,0.009432241518196726,0.03135451981666446,0.0
Uruguay,gpt-oss-120B,prompt 2,751,0.7497692841550616,0.8728767257899629,0.8589635420471456,0.7403462050599201,0.6615776081424937,0.07876859691742644,0.2596537949400799,0.018253542090238765,0.17189294680883493,1.9640479360852199,-0.07920906137025074,-0.04634194271929204,0.13946629261070054,-0.06069769569327413,-0.03242665419813446,0.7083888149134487,0.7710053262316909,0.7162893403398721,0.7787459646003244,0.009575157851079355,0.03257658017015648,0.0
Uruguay,gpt-oss-20B,prompt 2,751,0.7076371411117116,0.8728767257899629,0.8106953939816557,0.7549933422103862,0.6615776081424937,0.0934157340678925,0.24500665778961386,0.03285835403899189,0.1985241052642278,1.940079893475366,-0.1031771039801046,-0.04767350064206166,0.15278187183839698,-0.05936613777050448,-0.045742233425830864,0.725699067909454,0.7856191744340879,0.6773580706384622,0.7322744269973456,0.021747097847000973,0.04904191343388701,0.0
