prompt,country,model,N_valid,H_norm,H_norm_wvs,entropy_ratio,IM,IM_wvs,dIM,EM,JSD,W1,mu,dmu,err_1,err_2,err_3,err_4,IM_lo,IM_hi,H_norm_lo,H_norm_hi,JSD_lo,JSD_hi,discarded_mass
prompt 1,Argentina,gpt-4o,914,0.41530889445320496,0.840684972708674,0.49401251114919553,1,0.8063241106719368,0.19367588932806323,0,0.15096147218336095,0.4910411315130182,2.737417943107221,0.3803691947541248,-0.1383399209486166,-0.15902532123633828,0.35270121056440146,-0.05533596837944664,1,1,0.39255221958215164,0.43431821629498685,0.12948129879769663,0.176860808907982,0.00218340611353711
prompt 1,Argentina,gpt-oss-120B,916,0.43693732582768274,0.840684972708674,0.519739664692563,0.9989082969432315,0.8063241106719368,0.1925841862712947,0.001091703056768559,0.1385172666809211,0.46650528447566614,2.7128820960698694,0.3558333477167732,-0.13724821789184805,-0.13667288031252334,0.3292570665838181,-0.05533596837944664,0.9967248908296943,1,0.41324133745800706,0.4577789562356451,0.11689030619930874,0.1620518691975529,0
prompt 1,Argentina,gpt-oss-20B,916,0.4945943623128919,0.840684972708674,0.5883230679374659,1,0.8063241106719368,0.19367588932806323,0,0.10890064661783211,0.31475855958483645,2.5611353711790397,0.20408662282594348,-0.1383399209486166,0.017257250691843473,0.17641863863621982,-0.05533596837944664,1,1,0.4871997910876931,0.4988370426426193,0.09277139558718016,0.12701021749835856,0
prompt 1,United States,gpt-4o,1466,0.4865706460464894,0.8097999233411424,0.6008529169019359,1,0.8142857142857143,0.18571428571428572,0,0.10418360476866456,0.20570389137919837,2.4038199181446114,0.10994236712420324,-0.15782312925170067,0.1778127349166133,0.007901550797672463,-0.027891156462585033,1,1,0.47851689134164566,0.49271482870820515,0.09234248450473936,0.11716050172659509,0.00407608695652173
prompt 1,United States,gpt-oss-120B,1472,0.41734732537838604,0.8097999233411424,0.515370912430392,0.9959239130434783,0.8142857142857143,0.181638198757764,0.004076086956521739,0.12988418895321752,0.36359989648033125,2.2377717391304346,-0.056105811889973545,-0.15374704229517894,0.3357087400177462,-0.15407054125998224,-0.027891156462585033,0.9925271739130435,0.9986413043478262,0.3952817309395702,0.4375715160434561,0.11171699611674218,0.14907494329530024,0
prompt 1,United States,gpt-oss-20B,1472,0.3407907079743746,0.8097999233411424,0.420833218368694,0.9918478260869565,0.8142857142857143,0.17756211180124226,0.008152173913043478,0.16586165111755719,0.44919772256728774,2.144021739130435,-0.1498558118899731,-0.14967095533865718,0.42130656610470274,-0.24374445430346048,-0.027891156462585033,0.9870923913043478,0.9959239130434783,0.3115946378718594,0.36688010881133754,0.14622008986900462,0.18784817523136346,0
prompt 1,Uruguay,gpt-4o,843,0.4974385215938069,0.8728767257899629,0.5698840476513103,1,0.6615776081424937,0.33842239185750633,0,0.2128098437980584,0.5930020917660481,2.5421115065243183,0.49885450906884765,-0.2913486005089059,0.03676890060036403,0.30165349125714236,-0.047073791348600506,1,1,0.49152096384541943,0.4998858003334221,0.1901606242293931,0.23708805481599163,0
prompt 1,Uruguay,gpt-oss-120B,843,0.5055063750206163,0.8728767257899629,0.5791268802168228,0.9988137603795967,0.6615776081424937,0.337236152237103,0.0011862396204033216,0.19724413545689257,0.5301313918846722,2.4792408066429417,0.43598380918747104,-0.29016236088850256,0.0972671212409334,0.23996903099616962,-0.047073791348600506,0.9964412811387899,1,0.4971413808720721,0.5152246103621121,0.17460298031765958,0.22317896970291087,0
prompt 1,Uruguay,gpt-oss-20B,843,0.4579525310207073,0.8728767257899629,0.5246474301468576,1,0.6615776081424937,0.33842239185750633,0,0.19491707144183226,0.381851439334257,2.3309608540925266,0.287703856637056,-0.2913486005089059,0.24791955303215518,0.0905028388253511,-0.047073791348600506,1,1,0.43997267294993936,0.47208485652513976,0.1735021482662103,0.2178606288170053,0
prompt 2,Argentina,gpt-4o,681,0.6050841412253523,0.840684972708674,0.7197513466617352,0.9339207048458149,0.8063241106719368,0.12759659417387814,0.06607929515418502,0.05053268413207074,0.27983725398013837,2.23935389133627,-0.11769485701682614,-0.08107119848165625,0.2333118582879165,-0.10571526411403831,-0.04652539569222197,0.9148311306901615,0.9530102790014684,0.5623294063145022,0.6429833229932717,0.03462784878560241,0.07262779849025312,0
prompt 2,Argentina,gpt-oss-120B,681,0.5115215315301819,0.840684972708674,0.6084580409259218,0.9383259911894273,0.8063241106719368,0.1320018805174905,0.06167400881057269,0.09250118635426,0.38556412622683445,2.133627019089574,-0.2234217292635221,-0.08107119848165625,0.3346334441910002,-0.20263156367350968,-0.050930682035834306,0.9192364170337738,0.9544787077826726,0.4668589793549157,0.5538691741385782,0.07033594176790367,0.118546914695724,0
prompt 2,Argentina,gpt-oss-20B,681,0.45450518031694914,0.840684972708674,0.5406367367939746,0.9412628487518355,0.8063241106719368,0.13493873807989876,0.05873715124816447,0.12016183299243402,0.43255384722536605,2.089574155653451,-0.26747459269964535,-0.08253962726286036,0.3801547364083277,-0.2452159983284289,-0.052399110817038415,0.9221732745961821,0.9574155653450808,0.4052417594113805,0.4995446576118073,0.09373255280358628,0.15073661330693167,0
prompt 2,United States,gpt-4o,1000,0.6824482832991187,0.8097999233411424,0.8427369077579245,0.8280000000000001,0.8142857142857143,0.01371428571428579,0.17200000000000001,0.04380695706056839,0.24487755102040823,2.049,-0.2448775510204082,0.007176870748299341,0.20963265306122447,-0.19591836734693874,-0.020891156462585034,0.8049999999999999,0.851,0.65092988984042,0.7116254259901021,0.03181529875758134,0.06037541176413169,0.31365820178448867
prompt 2,United States,gpt-oss-120B,1457,0.5649546815345594,0.8097999233411424,0.6976472400782908,0.8325326012354153,0.8142857142857143,0.018246886949701002,0.16746739876458477,0.10285395209970163,0.3480985530794337,1.9457789979409748,-0.3480985530794334,0.008271585916453078,0.30503690838037345,-0.28679002143067245,-0.02651847286615401,0.814687714481812,0.851063829787234,0.5347025232448197,0.5922510687736131,0.08591161212218187,0.12276537424800468,0
prompt 2,United States,gpt-oss-20B,1457,0.5504366273588099,0.8097999233411424,0.6797192880529934,0.8380233356211393,0.8142857142857143,0.023737621335425008,0.16197666437886069,0.10864357132521085,0.348784894877649,1.945092656142759,-0.3487848948776491,0.0027808515307289894,0.31670471895003705,-0.29296709761461204,-0.02651847286615401,0.820178448867536,0.855885380919698,0.520326884218446,0.5778100807238995,0.09153764962346554,0.12927156845687365,0
prompt 2,Uruguay,gpt-4o,751,0.7600883771066254,0.8728767257899629,0.8707854782343258,0.7496671105193076,0.6615776081424937,0.0880895023768139,0.25033288948069243,0.017901905460461102,0.1412671145851332,1.9973368841544608,-0.04592011330100987,-0.04767350064206166,0.10085111285038095,-0.012761610473567053,-0.04041600173475231,0.7190412782956058,0.7789946737683087,0.732217795326549,0.7860392209902884,0.009223635599952923,0.03105517826333252,0
prompt 2,Uruguay,gpt-oss-120B,751,0.7497692841550616,0.8728767257899629,0.8589635420471456,0.7403462050599201,0.6615776081424937,0.07876859691742644,0.2596537949400799,0.018253542090238765,0.17189294680883493,1.9640479360852197,-0.07920906137025097,-0.04634194271929204,0.13946629261070054,-0.06069769569327413,-0.03242665419813446,0.7096870838881492,0.7709720372836218,0.714214836661234,0.7795332940601118,0.009865046640890685,0.03301017743250888,0
prompt 2,Uruguay,gpt-oss-20B,751,0.7076371411117116,0.8728767257899629,0.8106953939816557,0.7549933422103862,0.6615776081424937,0.0934157340678925,0.24500665778961386,0.03285835403899189,0.1985241052642278,1.9400798934753662,-0.10317710398010438,-0.04767350064206166,0.15278187183839698,-0.05936613777050448,-0.045742233425830864,0.7230359520639148,0.7856191744340879,0.6797252774840604,0.7327171383374497,0.021687516289186956,0.048871564792135315,0
